Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I50 Insuf cardiaca
Período:2020
"Distrito Admin residência";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Vila Matilde";-;-;-;-;-;1;5;16;-;22
"Vila Medeiros";-;-;-;-;3;4;4;21;-;32
"Vila Prudente";-;-;-;-;1;2;2;13;-;18
"Vila Sônia";-;-;-;-;-;3;1;9;-;13
"Desconhecido";-;-;-;-;-;-;-;-;-;-
"Ignorado";-;-;-;2;-;1;1;4;1;9
"Total";1;6;13;27;73;178;337;1163;1;1799
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
