Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I50 Insuf cardiaca
Período:2025
"Distrito Admin residência";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Perdizes";-;-;-;-;-;-;2;16;18
"Perus";-;-;-;-;-;4;2;2;8
"Pinheiros";-;-;-;-;-;1;-;12;13
"Pirituba";-;-;-;-;-;1;2;18;21
"Ponte Rasa";-;-;-;-;-;1;2;8;11
"Raposo Tavares";-;-;-;-;-;4;1;1;6
"República";-;-;-;-;-;-;-;4;4
"Rio Pequeno";-;-;-;1;1;1;3;9;15
"Sacomã";-;-;-;-;-;1;6;7;14
"Santa Cecília";-;-;-;-;-;2;1;8;11
"Santana";-;-;-;-;-;1;2;19;22
"Santo Amaro";-;-;-;-;-;-;3;8;11
"São Domingos";-;-;-;-;-;1;4;9;14
"São Lucas";-;-;-;1;-;1;5;29;36
"São Mateus";-;-;-;-;1;3;5;11;20
"São Miguel";-;-;-;-;3;1;2;10;16
"São Rafael";-;-;-;-;-;1;3;4;8
"Sapopemba";-;-;-;-;1;4;3;21;29
"Saúde";-;-;-;-;-;-;2;18;20
"Sé";-;-;-;-;-;-;-;1;1
"Socorro";-;-;-;-;-;-;1;4;5
"Tatuapé";-;-;-;-;-;-;1;17;18
"Tremembé";-;1;-;-;-;-;3;10;14
"Tucuruvi";-;-;-;-;-;1;3;17;21
"Vila Andrade";-;-;-;-;-;1;-;5;6
"Vila Curuçá";-;-;-;-;-;1;2;5;8
"Vila Formosa";-;-;-;-;-;1;1;14;16
"Vila Guilherme";-;-;-;-;-;1;-;5;6
"Vila Jacuí";-;-;-;1;-;1;4;6;12
"Vila Leopoldina";-;-;-;-;-;-;1;5;6
"Vila Maria";1;-;-;-;1;1;4;12;19
"Vila Mariana";-;-;-;-;-;-;1;16;17
"Vila Matilde";-;-;-;-;-;1;3;11;15
"Vila Medeiros";-;-;-;-;1;1;2;11;15
"Vila Prudente";-;-;-;-;-;2;4;7;13
"Vila Sônia";-;-;-;-;-;-;-;12;12
"Desconhecido";-;-;-;-;-;-;-;-;-
"Ignorado";-;-;-;1;2;10;16;47;76
"Total";1;1;4;17;41;132;262;937;1395
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
