Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I50 Insuf cardiaca
Período:2021
"Distrito Admin residência";"<1 Ano";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Santana";-;-;-;-;-;2;5;4;30;-;41
"Santo Amaro";-;-;-;-;-;-;-;-;14;-;14
"São Domingos";-;-;-;-;-;-;-;1;13;-;14
"São Lucas";-;-;-;-;-;1;3;4;26;-;34
"São Mateus";-;-;-;-;2;-;8;6;24;-;40
"São Miguel";-;-;1;-;-;1;3;10;11;-;26
"São Rafael";-;-;-;-;-;-;1;6;6;-;13
"Sapopemba";-;-;-;-;-;3;8;12;32;-;55
"Saúde";-;-;-;-;-;-;2;2;24;-;28
"Sé";-;-;-;-;-;-;1;-;1;-;2
"Socorro";-;-;-;-;-;-;2;2;3;-;7
"Tatuapé";-;-;-;-;-;-;-;3;22;-;25
"Tremembé";-;-;-;1;-;2;3;9;21;-;36
"Tucuruvi";-;-;-;-;-;-;-;6;19;-;25
"Vila Andrade";-;-;-;-;-;1;-;1;8;-;10
"Vila Curuçá";-;-;-;-;1;3;1;7;19;-;31
"Vila Formosa";-;-;-;-;1;1;1;5;15;-;23
"Vila Guilherme";-;-;-;-;-;-;1;1;9;-;11
"Vila Jacuí";-;-;-;1;-;-;3;5;12;-;21
"Vila Leopoldina";-;-;-;-;-;-;-;-;5;-;5
"Vila Maria";-;-;-;-;-;-;-;5;15;-;20
"Vila Mariana";-;-;-;-;-;-;1;2;18;-;21
"Vila Matilde";-;-;-;-;-;1;2;8;23;-;34
"Vila Medeiros";-;-;-;-;-;1;1;9;14;-;25
"Vila Prudente";-;-;-;-;-;-;1;5;30;-;36
"Vila Sônia";-;-;-;-;1;-;2;4;11;-;18
"Desconhecido";-;-;-;-;-;-;-;-;-;-;-
"Ignorado";-;-;-;-;-;1;1;2;2;1;7
"Total";1;2;5;9;24;67;195;431;1315;1;2050
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
