Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I50 Insuf cardiaca
Período:2018
"Distrito Admin residência";"1-4";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Mandaqui";-;-;-;-;-;-;1;2;9;-;12
"Marsilac";-;-;-;-;-;-;-;-;-;-;-
"Moema";-;-;-;-;-;1;-;1;14;-;16
"Moóca";-;-;-;-;-;-;-;-;13;-;13
"Morumbi";-;-;-;-;-;1;-;1;5;-;7
"Parelheiros";-;1;-;-;1;1;1;4;8;-;16
"Pari";-;-;-;-;-;-;1;-;-;-;1
"Parque do Carmo";-;-;-;-;-;-;2;-;8;-;10
"Pedreira";-;-;-;-;-;-;2;2;9;-;13
"Penha";-;-;-;-;-;-;-;2;12;-;14
"Perdizes";-;-;-;-;-;1;-;1;8;-;10
"Perus";-;-;-;-;-;2;1;2;5;-;10
"Pinheiros";-;-;-;-;-;-;1;1;9;-;11
"Pirituba";-;-;-;-;-;1;3;6;14;-;24
"Ponte Rasa";-;-;-;-;-;-;3;2;11;-;16
"Raposo Tavares";-;-;-;-;-;2;1;1;5;-;9
"República";-;-;-;-;-;-;-;2;5;-;7
"Rio Pequeno";-;-;-;-;-;-;-;1;6;-;7
"Sacomã";-;-;-;-;-;-;3;11;28;-;42
"Santa Cecília";-;-;-;-;-;2;-;1;13;-;16
"Santana";-;-;-;-;-;-;-;2;25;-;27
"Santo Amaro";-;-;-;-;-;-;-;2;8;-;10
"São Domingos";-;-;-;-;-;-;1;1;10;-;12
"São Lucas";-;-;-;-;-;-;2;3;14;-;19
"São Mateus";-;-;-;-;1;-;1;-;12;-;14
"São Miguel";-;-;-;-;-;1;3;6;13;-;23
"São Rafael";-;-;-;-;1;3;1;4;8;-;17
"Sapopemba";-;-;-;-;-;1;6;5;16;-;28
"Saúde";-;-;-;-;-;-;1;2;15;-;18
"Sé";-;-;-;-;-;-;-;1;-;-;1
"Socorro";-;-;-;-;-;1;-;-;6;-;7
"Tatuapé";-;-;-;-;-;-;1;2;9;-;12
"Tremembé";-;-;-;-;-;1;2;4;15;-;22
"Tucuruvi";-;-;-;-;-;-;-;2;10;-;12
"Vila Andrade";-;-;-;-;-;2;1;4;2;-;9
"Vila Curuçá";-;-;-;-;-;1;4;3;14;-;22
"Vila Formosa";-;-;-;-;-;-;2;3;9;-;14
"Vila Guilherme";-;-;-;-;-;-;-;-;10;-;10
"Vila Jacuí";-;-;-;-;-;-;2;3;12;-;17
"Vila Leopoldina";-;-;-;-;-;-;-;-;-;-;-
"Vila Maria";-;-;-;-;-;1;3;3;10;-;17
"Vila Mariana";-;-;-;-;-;-;1;1;19;-;21
"Vila Matilde";-;-;-;-;-;2;2;1;13;-;18
"Vila Medeiros";-;-;-;-;-;-;2;1;15;-;18
"Vila Prudente";-;-;-;-;-;-;1;5;15;-;21
"Vila Sônia";-;-;-;-;-;-;1;2;5;-;8
"Desconhecido";-;-;-;-;-;-;-;-;-;-;-
"Ignorado";-;-;-;-;-;-;1;-;3;1;5
"Total";1;1;2;3;14;68;136;264;941;1;1431
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
