Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I26 Embolia pulmonar
Período:2022
"Distrito Admin residência";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Pirituba";-;-;-;-;2;3;3;14;-;22
"Ponte Rasa";-;1;-;-;2;-;3;6;-;12
"Raposo Tavares";-;-;1;1;-;1;2;4;-;9
"República";-;-;-;-;-;1;2;3;-;6
"Rio Pequeno";-;-;-;-;1;1;2;6;-;10
"Sacomã";-;-;-;-;2;2;3;9;-;16
"Santa Cecília";-;-;-;1;2;2;3;10;-;18
"Santana";-;-;1;-;-;1;3;9;-;14
"Santo Amaro";-;-;-;-;1;-;-;7;-;8
"São Domingos";-;-;-;-;-;1;2;8;-;11
"São Lucas";-;-;2;1;2;2;2;5;-;14
"São Mateus";-;-;-;3;3;4;3;5;-;18
"São Miguel";-;-;-;2;2;3;2;3;-;12
"São Rafael";-;-;-;1;-;5;-;5;-;11
"Sapopemba";-;-;-;5;7;4;6;14;-;36
"Saúde";-;-;-;-;-;1;4;9;-;14
"Sé";-;-;-;1;-;-;-;-;-;1
"Socorro";-;-;-;-;1;-;2;2;-;5
"Tatuapé";-;1;-;1;-;-;2;10;-;14
"Tremembé";-;-;-;1;3;1;7;13;-;25
"Tucuruvi";-;-;-;-;1;1;1;6;-;9
"Vila Andrade";-;-;1;1;1;1;-;6;-;10
"Vila Curuçá";-;-;-;1;2;3;4;6;-;16
"Vila Formosa";-;-;-;1;1;-;1;8;-;11
"Vila Guilherme";-;-;-;-;2;-;-;1;-;3
"Vila Jacuí";-;-;-;1;3;5;2;2;-;13
"Vila Leopoldina";-;-;-;-;-;-;-;-;-;-
"Vila Maria";-;-;-;-;-;-;10;5;-;15
"Vila Mariana";-;-;-;1;-;1;3;6;-;11
"Vila Matilde";-;-;1;-;1;-;1;13;-;16
"Vila Medeiros";-;-;-;-;3;1;3;13;-;20
"Vila Prudente";-;-;-;-;-;1;2;13;-;16
"Vila Sônia";-;-;-;-;1;1;3;7;-;12
"Desconhecido";-;-;-;-;-;-;-;-;-;-
"Ignorado";-;-;2;3;4;5;5;2;4;25
"Total";2;9;27;70;120;148;248;633;4;1261
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
