Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I26 Embolia pulmonar
Período:2025
"Distrito Admin residência";"<1 Ano";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Santo Amaro";-;-;-;1;-;3;1;10;-;15
"São Domingos";-;-;-;-;3;3;5;5;-;16
"São Lucas";-;-;1;-;1;3;7;9;-;21
"São Mateus";-;-;1;4;2;4;6;10;-;27
"São Miguel";-;-;-;1;3;5;2;8;-;19
"São Rafael";-;1;-;-;3;4;2;5;-;15
"Sapopemba";-;-;1;-;1;6;5;16;-;29
"Saúde";-;-;-;-;-;4;1;9;-;14
"Sé";-;-;-;1;-;-;-;-;-;1
"Socorro";-;-;-;-;1;1;-;4;-;6
"Tatuapé";-;-;-;-;2;1;4;7;-;14
"Tremembé";-;-;1;1;7;4;4;14;-;31
"Tucuruvi";-;1;-;-;-;2;3;14;-;20
"Vila Andrade";-;-;-;1;2;2;1;5;-;11
"Vila Curuçá";-;1;1;1;2;5;3;18;-;31
"Vila Formosa";-;-;1;-;1;4;4;4;-;14
"Vila Guilherme";-;-;1;-;1;1;3;4;-;10
"Vila Jacuí";-;-;1;-;-;3;3;8;-;15
"Vila Leopoldina";-;-;-;-;2;-;-;6;-;8
"Vila Maria";-;-;-;-;-;1;2;14;-;17
"Vila Mariana";-;-;2;1;-;1;3;8;-;15
"Vila Matilde";-;-;-;-;-;-;7;10;-;17
"Vila Medeiros";-;-;-;6;1;-;7;11;-;25
"Vila Prudente";-;-;1;-;-;1;2;11;-;15
"Vila Sônia";-;-;-;-;-;1;1;11;-;13
"Desconhecido";-;-;-;-;-;-;-;-;-;-
"Ignorado";-;2;2;7;9;12;8;17;3;60
"Total";1;9;41;72;156;208;316;853;4;1660
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
