Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I26 Embolia pulmonar
Período:2019
"Distrito Admin residência";"<1 Ano";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Vila Andrade";-;-;-;-;-;-;-;-;5;-;5
"Vila Curuçá";-;-;-;1;1;-;1;3;4;-;10
"Vila Formosa";-;-;-;-;-;-;3;1;5;-;9
"Vila Guilherme";-;-;-;1;-;-;1;-;7;-;9
"Vila Jacuí";-;-;-;-;1;4;2;2;7;-;16
"Vila Leopoldina";-;-;-;-;-;-;-;-;2;-;2
"Vila Maria";-;-;-;-;-;-;2;2;8;-;12
"Vila Mariana";-;-;-;-;-;-;1;4;7;-;12
"Vila Matilde";-;-;-;-;-;-;-;3;5;-;8
"Vila Medeiros";-;-;-;1;1;1;1;1;6;-;11
"Vila Prudente";-;-;-;-;-;-;1;2;10;-;13
"Vila Sônia";-;-;-;-;-;-;1;-;-;-;1
"Desconhecido";-;-;-;-;-;-;-;-;-;-;-
"Ignorado";-;-;-;2;1;4;1;3;2;6;19
"Total";1;1;11;37;63;109;126;197;510;6;1061
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
