Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I26 Embolia pulmonar
Período:2024
"Distrito Admin residência";"<1 Ano";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Perdizes";-;-;-;-;-;1;2;3;4;-;10
"Perus";-;-;-;-;2;1;4;2;2;-;11
"Pinheiros";-;-;-;-;-;-;-;1;3;-;4
"Pirituba";-;-;-;-;6;1;2;9;14;-;32
"Ponte Rasa";-;-;1;-;-;2;3;11;14;-;31
"Raposo Tavares";-;-;-;-;-;1;1;1;9;-;12
"República";-;-;-;-;2;-;3;2;3;-;10
"Rio Pequeno";-;-;-;-;1;-;1;2;2;-;6
"Sacomã";-;-;-;1;4;5;7;12;29;-;58
"Santa Cecília";-;-;1;-;2;3;1;2;9;-;18
"Santana";-;-;-;1;-;-;3;4;9;-;17
"Santo Amaro";-;-;-;-;-;1;-;-;6;-;7
"São Domingos";-;-;-;-;3;1;1;4;9;-;18
"São Lucas";-;-;1;-;-;-;4;4;18;-;27
"São Mateus";-;-;-;-;3;1;4;4;13;-;25
"São Miguel";-;-;-;-;-;5;4;2;10;-;21
"São Rafael";-;-;1;-;2;4;2;4;4;-;17
"Sapopemba";-;-;-;2;3;4;5;12;24;-;50
"Saúde";-;-;-;-;-;1;1;3;15;-;20
"Sé";-;-;-;-;-;-;-;-;1;-;1
"Socorro";-;-;-;-;2;-;3;1;4;-;10
"Tatuapé";-;-;-;-;2;-;-;2;8;-;12
"Tremembé";-;-;-;-;-;2;5;6;17;-;30
"Tucuruvi";-;-;-;-;1;2;2;1;12;-;18
"Vila Andrade";-;-;-;-;-;2;4;3;7;-;16
"Vila Curuçá";-;-;-;-;-;1;3;6;19;-;29
"Vila Formosa";-;-;-;-;1;1;4;1;14;-;21
"Vila Guilherme";-;-;-;1;-;-;2;2;5;-;10
"Vila Jacuí";-;-;-;-;4;2;5;7;8;-;26
"Vila Leopoldina";-;-;-;-;-;1;-;-;8;-;9
"Vila Maria";-;-;1;-;1;2;4;3;27;-;38
"Vila Mariana";-;-;-;-;-;-;-;5;11;-;16
"Vila Matilde";-;-;-;-;1;2;1;4;11;-;19
"Vila Medeiros";-;-;-;-;1;3;2;10;20;-;36
"Vila Prudente";-;-;1;-;1;1;3;1;10;-;17
"Vila Sônia";-;-;-;-;1;-;2;2;8;-;13
"Desconhecido";-;-;-;-;-;-;-;-;-;-;-
"Ignorado";-;-;-;1;4;1;4;8;4;3;25
"Total";1;1;12;27;111;176;245;424;947;3;1947
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
