Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I26 Embolia pulmonar
Período:2023
"Distrito Admin residência";"<1 Ano";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Freguesia do Ó";-;-;-;1;-;3;3;5;18;-;30
"Grajaú";-;-;2;1;3;3;7;13;13;-;42
"Guaianases";1;-;1;-;1;1;1;2;3;-;10
"Iguatemi";-;-;-;1;2;2;1;3;5;1;15
"Ipiranga";-;-;-;1;1;4;3;7;9;-;25
"Itaim Bibi";-;-;-;-;-;1;2;-;7;-;10
"Itaim Paulista";-;-;-;1;4;1;10;5;16;-;37
"Itaquera";-;-;-;-;-;6;3;4;13;-;26
"Jabaquara";-;-;1;-;3;-;6;4;14;-;28
"Jaçanã";-;-;-;-;-;5;1;4;3;-;13
"Jaguara";-;-;-;-;-;-;2;1;3;-;6
"Jaguaré";-;-;-;-;-;1;1;1;1;-;4
"Jaraguá";-;-;-;2;1;3;5;8;15;-;34
"Jardim Ângela";-;-;-;-;4;6;7;9;18;-;44
"Jardim Helena";-;-;1;-;1;2;5;4;10;-;23
"Jardim Paulista";-;-;-;1;1;-;-;2;3;-;7
"Jardim São Luís";-;-;1;-;-;1;3;12;7;-;24
"José Bonifácio";-;-;-;-;4;1;4;3;8;-;20
"Lajeado";-;-;1;4;-;3;7;5;7;-;27
"Lapa";-;-;-;-;-;-;-;4;13;-;17
"Liberdade";-;-;-;1;-;1;1;2;6;-;11
"Limão";-;-;-;-;-;-;-;1;13;-;14
"Mandaqui";-;-;-;-;-;-;1;1;13;-;15
"Marsilac";-;-;-;-;-;-;-;-;1;-;1
"Moema";-;-;-;-;-;-;-;2;2;-;4
"Moóca";-;-;-;-;-;2;3;3;10;-;18
"Morumbi";-;-;-;-;-;-;-;1;-;-;1
"Parelheiros";-;-;-;-;-;1;1;6;13;-;21
"Pari";-;-;-;-;-;-;2;-;-;-;2
"Parque do Carmo";-;-;-;-;1;-;2;-;3;-;6
"Pedreira";-;-;-;2;-;1;1;4;9;-;17
"Penha";-;-;1;2;1;2;1;4;10;-;21
"Perdizes";-;-;-;-;1;-;1;2;6;-;10
"Perus";-;-;1;-;-;1;3;1;5;-;11
"Pinheiros";-;-;-;-;1;-;2;2;4;-;9
"Pirituba";-;-;-;-;1;2;7;8;10;-;28
"Ponte Rasa";-;-;-;-;2;1;1;6;15;-;25
"Raposo Tavares";-;-;-;-;-;1;2;-;8;-;11
"República";-;-;-;-;-;1;3;2;5;-;11
"Rio Pequeno";-;-;-;-;1;-;1;3;14;-;19
"Sacomã";-;-;-;1;1;2;6;8;15;-;33
"Santa Cecília";-;-;-;-;-;1;1;4;8;-;14
"Santana";-;-;-;1;-;1;1;5;12;-;20
"Santo Amaro";-;-;-;1;1;-;1;-;10;-;13
"São Domingos";-;-;-;1;-;1;-;2;6;-;10
"São Lucas";-;-;-;1;1;3;1;6;7;-;19
"São Mateus";-;-;-;-;3;3;4;4;11;-;25
"São Miguel";-;-;-;-;2;1;2;1;12;-;18
"São Rafael";-;-;-;-;1;4;5;4;10;-;24
"Sapopemba";-;-;1;-;1;7;5;15;19;-;48
"Saúde";-;-;-;-;-;-;-;3;7;-;10
"Sé";-;-;-;-;-;-;-;-;2;-;2
"Socorro";-;-;-;1;-;1;2;1;3;-;8
"Tatuapé";-;-;-;1;-;2;2;1;2;-;8
"Tremembé";-;-;-;-;1;4;2;9;23;-;39
"Tucuruvi";-;-;-;-;-;2;3;3;19;-;27
"Vila Andrade";-;-;-;1;1;-;-;2;10;-;14
"Vila Curuçá";-;-;-;-;2;5;5;7;6;-;25
"Vila Formosa";-;-;1;-;-;3;3;3;8;-;18
"Vila Guilherme";-;-;-;-;-;2;1;2;3;-;8
"Vila Jacuí";-;-;1;-;1;2;2;4;9;-;19
"Vila Leopoldina";-;-;-;-;-;-;-;-;3;-;3
"Vila Maria";-;-;-;1;1;2;2;5;6;-;17
"Vila Mariana";-;-;-;-;-;-;-;2;15;-;17
"Vila Matilde";-;-;1;2;1;2;1;4;17;-;28
"Vila Medeiros";-;1;-;-;-;1;4;6;11;-;23
"Vila Prudente";-;-;-;-;1;1;2;6;7;-;17
"Vila Sônia";-;-;-;-;1;2;1;4;10;-;18
"Desconhecido";-;-;-;-;-;-;-;-;-;-;-
"Ignorado";-;-;-;1;1;2;6;-;3;4;17
"Total";1;2;16;46;76;152;235;349;846;5;1728
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
