Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I26 Embolia pulmonar
Período:2018
"Distrito Admin residência";"1-4";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Jardim Helena";-;-;-;-;2;1;-;6;-;9
"Jardim Paulista";-;-;-;1;-;2;-;5;-;8
"Jardim São Luís";-;-;1;-;2;-;6;8;-;17
"José Bonifácio";-;1;2;1;-;-;1;4;-;9
"Lajeado";-;-;1;1;-;2;3;5;-;12
"Lapa";-;-;-;-;-;-;2;5;-;7
"Liberdade";-;-;-;-;-;-;-;-;-;-
"Limão";-;-;-;-;1;-;3;2;-;6
"Mandaqui";-;-;-;-;-;1;-;7;-;8
"Marsilac";-;-;-;-;-;-;-;-;-;-
"Moema";-;-;-;-;-;-;-;5;-;5
"Moóca";-;-;-;-;-;1;1;8;-;10
"Morumbi";-;-;-;-;-;-;-;3;-;3
"Parelheiros";-;-;-;1;-;1;-;5;-;7
"Pari";-;-;-;-;-;-;-;-;-;-
"Parque do Carmo";-;-;-;-;1;1;2;5;1;10
"Pedreira";-;-;-;-;2;2;3;5;-;12
"Penha";-;-;1;1;1;4;2;9;-;18
"Perdizes";-;-;-;-;1;1;2;3;-;7
"Perus";-;-;-;-;1;3;-;4;-;8
"Pinheiros";-;-;-;-;-;1;-;-;-;1
"Pirituba";-;1;-;1;2;2;1;10;-;17
"Ponte Rasa";-;-;-;1;2;-;1;4;-;8
"Raposo Tavares";-;-;-;-;1;-;3;2;-;6
"República";-;-;-;-;-;-;2;1;-;3
"Rio Pequeno";-;-;-;1;1;2;4;5;-;13
"Sacomã";-;-;1;-;-;2;-;3;-;6
"Santa Cecília";-;-;-;-;1;-;-;7;-;8
"Santana";-;-;-;-;2;1;2;11;-;16
"Santo Amaro";-;-;-;1;-;2;1;8;-;12
"São Domingos";-;-;-;-;-;-;1;1;-;2
"São Lucas";-;-;-;-;-;-;1;6;-;7
"São Mateus";1;-;-;-;2;-;2;5;-;10
"São Miguel";-;-;-;-;-;1;2;1;-;4
"São Rafael";-;-;-;-;2;1;3;2;-;8
"Sapopemba";-;1;2;3;2;6;7;8;-;29
"Saúde";-;-;-;-;-;1;1;6;-;8
"Sé";-;-;-;-;-;1;-;3;-;4
"Socorro";-;-;-;-;-;-;2;5;-;7
"Tatuapé";-;-;-;-;-;1;-;9;-;10
"Tremembé";-;-;-;4;2;1;-;5;-;12
"Tucuruvi";-;-;-;1;-;1;2;4;-;8
"Vila Andrade";-;-;-;-;-;1;2;-;-;3
"Vila Curuçá";-;-;2;-;1;-;3;2;-;8
"Vila Formosa";-;-;-;-;1;-;-;6;-;7
"Vila Guilherme";-;-;-;-;1;1;4;7;-;13
"Vila Jacuí";-;-;-;-;-;-;1;1;-;2
"Vila Leopoldina";-;-;-;-;-;2;2;2;-;6
"Vila Maria";-;-;-;1;1;3;2;4;-;11
"Vila Mariana";-;-;-;-;-;-;3;4;-;7
"Vila Matilde";-;-;-;-;-;1;3;9;-;13
"Vila Medeiros";-;-;-;-;1;3;-;6;-;10
"Vila Prudente";-;-;-;1;-;1;3;8;-;13
"Vila Sônia";-;-;-;-;1;1;1;5;-;8
"Desconhecido";-;-;-;-;-;-;-;-;-;-
"Ignorado";-;-;-;-;3;3;1;-;-;7
"Total";1;8;21;43;83;115;144;435;1;851
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
