Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I21 Infarto agudo do miocardio
Período:2018
"Distrito Admin residência";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Guaianases";-;-;-;2;3;12;23;28;-;68
"Iguatemi";-;-;2;4;15;8;14;13;-;56
"Ipiranga";-;-;-;3;6;13;16;49;-;87
"Itaim Bibi";-;-;-;1;-;6;8;32;-;47
"Itaim Paulista";-;-;-;1;13;28;20;26;-;88
"Itaquera";1;1;2;3;12;24;35;43;-;121
"Jabaquara";-;-;-;8;9;29;27;60;-;133
"Jaçanã";-;-;-;1;3;13;13;19;-;49
"Jaguara";-;-;-;-;2;3;3;6;-;14
"Jaguaré";-;-;-;1;2;-;4;15;-;22
"Jaraguá";-;-;2;3;10;18;30;33;-;96
"Jardim Ângela";-;4;5;9;13;26;29;32;-;118
"Jardim Helena";-;-;-;3;9;17;25;24;-;78
"Jardim Paulista";-;-;-;1;2;3;5;25;-;36
"Jardim São Luís";-;1;7;4;11;24;31;34;-;112
"José Bonifácio";-;-;-;1;3;7;20;19;-;50
"Lajeado";-;-;1;2;12;22;20;26;-;83
"Lapa";-;-;-;2;1;8;4;43;-;58
"Liberdade";-;-;-;-;2;2;4;17;-;25
"Limão";-;-;-;-;3;14;13;19;-;49
"Mandaqui";-;1;-;1;5;9;15;39;-;70
"Marsilac";-;-;-;-;-;1;-;1;-;2
"Moema";-;-;-;2;1;3;7;31;-;44
"Moóca";-;-;-;1;3;8;10;45;-;67
"Morumbi";-;-;1;-;2;5;5;12;-;25
"Parelheiros";-;-;2;5;13;20;19;13;-;72
"Pari";-;-;-;-;2;1;1;10;-;14
"Parque do Carmo";-;-;-;1;4;6;14;17;-;42
"Pedreira";-;-;2;5;5;13;16;8;-;49
"Penha";-;-;1;1;9;17;18;60;-;106
"Perdizes";-;-;-;-;8;4;11;42;-;65
"Perus";-;1;-;2;5;13;10;22;-;53
"Pinheiros";-;-;-;1;3;4;8;17;-;33
"Pirituba";-;1;2;2;9;26;17;32;-;89
"Ponte Rasa";-;-;-;1;4;13;11;31;-;60
"Raposo Tavares";1;-;-;1;5;6;9;17;-;39
"República";-;-;2;-;2;7;7;20;-;38
"Rio Pequeno";-;-;-;3;7;10;14;21;-;55
"Sacomã";-;1;2;5;17;19;26;53;-;123
"Santa Cecília";-;-;1;1;3;4;10;19;-;38
"Santana";-;-;1;2;6;8;22;45;-;84
"Santo Amaro";-;-;1;3;3;4;14;31;-;56
"São Domingos";-;-;-;3;8;9;9;19;-;48
"São Lucas";-;-;-;2;6;19;26;61;-;114
"São Mateus";-;-;-;2;9;24;24;34;-;93
"São Miguel";-;-;-;1;8;15;16;31;-;71
"São Rafael";1;-;2;4;7;22;9;15;-;60
"Sapopemba";-;2;-;7;13;36;42;47;-;147
"Saúde";-;-;1;-;6;9;24;49;-;89
"Sé";-;-;-;1;-;3;4;4;-;12
"Socorro";-;-;-;1;-;5;3;15;-;24
"Tatuapé";-;-;-;1;5;6;17;42;-;71
"Tremembé";-;-;-;2;8;19;30;43;-;102
"Tucuruvi";-;-;-;-;4;14;18;38;-;74
"Vila Andrade";-;-;-;1;5;10;8;16;-;40
"Vila Curuçá";-;-;-;5;6;21;17;36;-;85
"Vila Formosa";-;-;-;4;8;12;15;34;-;73
"Vila Guilherme";-;-;-;-;1;7;17;22;-;47
"Vila Jacuí";-;1;1;2;9;20;22;20;-;75
"Vila Leopoldina";-;-;-;-;3;3;3;12;-;21
"Vila Maria";-;-;-;3;9;17;24;40;-;93
"Vila Mariana";-;-;-;-;8;7;8;59;-;82
"Vila Matilde";-;-;-;2;4;13;24;51;-;94
"Vila Medeiros";-;-;1;5;12;25;21;32;-;96
"Vila Prudente";-;-;-;3;3;18;8;38;-;70
"Vila Sônia";-;-;1;1;2;9;4;31;-;48
"Desconhecido";-;-;-;-;-;-;2;1;-;3
"Ignorado";-;-;3;4;11;21;13;10;8;70
"Total";5;39;72;233;626;1269;1478;2760;8;6490
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
