Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I21 Infarto agudo do miocardio
Período:2024
"Distrito Admin residência";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Lajeado";-;2;1;6;13;16;12;27;-;77
"Lapa";-;-;-;-;2;6;7;24;-;39
"Liberdade";-;-;-;3;3;3;7;13;-;29
"Limão";-;1;-;4;4;9;17;17;-;52
"Mandaqui";-;-;1;-;4;14;14;42;-;75
"Marsilac";-;1;-;-;-;-;-;-;-;1
"Moema";-;-;-;1;-;3;8;13;-;25
"Moóca";-;-;-;-;7;9;10;30;-;56
"Morumbi";-;-;-;1;3;2;7;13;-;26
"Parelheiros";-;-;3;1;8;24;19;23;-;78
"Pari";-;-;1;-;-;2;1;3;-;7
"Parque do Carmo";-;1;2;5;4;6;13;11;-;42
"Pedreira";-;-;2;3;5;14;24;20;-;68
"Penha";-;1;2;5;4;13;21;50;-;96
"Perdizes";-;-;-;1;4;5;15;33;-;58
"Perus";-;-;1;1;8;11;9;15;-;45
"Pinheiros";-;-;-;-;-;4;5;22;-;31
"Pirituba";1;-;1;3;13;18;29;35;-;100
"Ponte Rasa";-;-;1;3;4;13;13;21;-;55
"Raposo Tavares";-;-;-;-;11;10;18;17;-;56
"República";-;-;-;1;7;6;7;12;-;33
"Rio Pequeno";-;-;-;1;3;9;22;27;-;62
"Sacomã";-;1;-;4;14;17;32;45;-;113
"Santa Cecília";-;-;1;1;4;5;12;16;-;39
"Santana";-;1;-;-;3;10;17;52;-;83
"Santo Amaro";-;-;-;-;3;3;10;19;-;35
"São Domingos";-;-;1;-;7;7;15;19;-;49
"São Lucas";-;1;1;3;9;11;25;41;-;91
"São Mateus";-;-;2;5;7;20;20;29;-;83
"São Miguel";-;1;3;1;5;13;11;26;-;60
"São Rafael";-;1;3;6;12;15;20;22;-;79
"Sapopemba";-;3;7;8;13;39;38;55;-;163
"Saúde";-;-;-;-;2;12;13;40;-;67
"Sé";-;-;-;1;2;3;2;-;-;8
"Socorro";-;-;-;1;1;4;3;11;-;20
"Tatuapé";-;-;-;2;3;9;16;34;-;64
"Tremembé";-;2;3;5;11;30;34;42;-;127
"Tucuruvi";-;-;1;1;3;15;12;37;-;69
"Vila Andrade";-;-;-;2;10;8;10;16;-;46
"Vila Curuçá";-;-;2;3;20;25;22;31;-;103
"Vila Formosa";-;-;-;2;7;13;24;35;-;81
"Vila Guilherme";-;-;-;2;1;6;12;19;-;40
"Vila Jacuí";-;-;1;3;10;19;19;22;-;74
"Vila Leopoldina";-;-;-;-;2;4;4;8;-;18
"Vila Maria";-;-;-;3;3;17;8;39;-;70
"Vila Mariana";-;-;-;3;5;5;14;53;-;80
"Vila Matilde";-;-;1;2;2;12;26;36;-;79
"Vila Medeiros";-;1;2;3;6;13;25;41;-;91
"Vila Prudente";-;1;-;-;4;6;11;28;-;50
"Vila Sônia";-;-;-;3;11;7;13;24;-;58
"Desconhecido";-;-;-;-;-;-;-;-;-;-
"Ignorado";1;-;-;5;21;27;28;19;3;104
"Total";3;48;105;283;657;1202;1583;2551;4;6436
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
