Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I21 Infarto agudo do miocardio
Período:2019
"Distrito Admin residência";"<1 Ano";"1-4";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Tucuruvi";-;-;-;-;1;3;4;19;15;33;-;75
"Vila Andrade";-;-;-;-;2;3;3;7;10;26;-;51
"Vila Curuçá";1;-;-;1;3;5;6;19;23;36;-;94
"Vila Formosa";-;-;-;-;-;2;2;12;14;46;-;76
"Vila Guilherme";-;-;-;-;-;-;6;14;9;18;-;47
"Vila Jacuí";-;-;-;-;2;7;4;16;13;26;1;69
"Vila Leopoldina";-;-;-;-;-;-;3;1;4;13;-;21
"Vila Maria";-;-;-;-;-;6;9;15;17;31;-;78
"Vila Mariana";-;-;-;-;-;1;4;4;14;43;-;66
"Vila Matilde";-;-;1;-;1;1;9;19;15;48;-;94
"Vila Medeiros";-;-;-;-;2;3;13;16;28;27;-;89
"Vila Prudente";-;-;-;-;1;3;2;15;18;49;-;88
"Vila Sônia";-;-;-;-;-;1;6;11;19;25;-;62
"Desconhecido";-;-;-;-;-;-;-;-;1;-;-;1
"Ignorado";-;-;1;2;3;7;19;17;13;15;8;85
"Total";1;1;5;64;115;258;660;1384;1561;2824;9;6882
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
