Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C22 Neopl malig figado vias biliares intra-hepat
Período:2023
"Distrito Admin residência";"1-4";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Mandaqui";-;-;-;-;-;-;4;4;4;-;12
"Marsilac";-;-;-;-;-;-;-;1;-;-;1
"Moema";-;-;-;1;-;-;-;9;2;-;12
"Moóca";-;-;-;-;-;-;-;2;1;-;3
"Morumbi";-;-;-;-;-;-;-;-;2;-;2
"Parelheiros";-;-;-;-;-;1;4;1;1;-;7
"Pari";-;-;-;-;-;-;-;1;-;-;1
"Parque do Carmo";-;-;-;-;-;-;-;-;1;-;1
"Pedreira";-;-;-;-;-;1;3;2;1;-;7
"Penha";-;-;-;-;-;-;1;2;7;-;10
"Perdizes";-;-;-;-;-;1;-;1;4;-;6
"Perus";-;-;-;-;-;2;1;-;1;-;4
"Pinheiros";-;-;-;-;-;-;-;-;2;-;2
"Pirituba";-;-;-;1;1;-;2;5;2;-;11
"Ponte Rasa";-;-;-;-;-;-;1;5;3;-;9
"Raposo Tavares";-;-;-;-;-;1;3;2;1;-;7
"República";-;-;-;-;-;-;-;-;-;-;-
"Rio Pequeno";-;-;-;-;-;2;1;-;3;-;6
"Sacomã";-;-;-;-;-;2;4;6;13;-;25
"Santa Cecília";-;-;-;-;-;-;-;1;2;-;3
"Santana";-;-;-;-;-;-;5;4;3;-;12
"Santo Amaro";-;-;-;-;-;2;-;1;5;-;8
"São Domingos";-;-;-;-;-;-;1;-;3;-;4
"São Lucas";-;-;-;1;1;-;2;5;4;-;13
"São Mateus";-;-;-;-;-;-;4;6;1;-;11
"São Miguel";-;-;-;-;-;-;-;3;1;-;4
"São Rafael";-;-;-;-;-;1;-;1;2;-;4
"Sapopemba";-;-;-;-;1;2;2;2;5;-;12
"Saúde";-;-;-;-;-;-;1;4;6;-;11
"Sé";-;-;-;-;-;-;-;-;-;-;-
"Socorro";-;-;-;-;-;-;1;1;4;-;6
"Tatuapé";-;-;-;-;-;1;-;2;5;-;8
"Tremembé";-;-;-;-;-;2;3;2;3;-;10
"Tucuruvi";-;-;-;-;-;1;-;2;1;-;4
"Vila Andrade";-;-;1;-;-;-;1;2;2;-;6
"Vila Curuçá";-;-;-;-;-;1;1;5;2;-;9
"Vila Formosa";-;-;-;-;-;-;2;3;2;-;7
"Vila Guilherme";-;-;-;-;-;-;-;2;3;-;5
"Vila Jacuí";-;-;-;-;-;1;-;1;2;-;4
"Vila Leopoldina";-;-;-;-;-;-;-;1;1;-;2
"Vila Maria";-;-;-;1;1;-;-;2;2;-;6
"Vila Mariana";-;-;-;-;-;-;1;6;4;-;11
"Vila Matilde";-;-;-;-;-;1;-;7;5;-;13
"Vila Medeiros";-;-;-;-;-;-;3;3;2;-;8
"Vila Prudente";-;-;-;-;1;-;-;4;3;-;8
"Vila Sônia";-;-;-;-;1;-;2;2;8;-;13
"Desconhecido";-;-;-;-;-;-;-;-;-;-;-
"Ignorado";-;-;-;-;2;-;-;-;2;-;4
"Total";2;1;2;6;15;56;139;229;260;1;711
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
