Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C22 Neopl malig figado vias biliares intra-hepat
Período:2020
"Distrito Admin residência";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Jaraguá";-;-;2;-;-;1;1;2;-;6
"Jardim Ângela";-;-;-;1;1;-;3;3;-;8
"Jardim Helena";-;-;-;1;1;-;3;1;-;6
"Jardim Paulista";-;-;-;-;-;-;1;2;-;3
"Jardim São Luís";-;-;-;-;3;1;5;1;-;10
"José Bonifácio";-;-;-;-;1;-;2;-;-;3
"Lajeado";-;-;1;-;-;2;3;-;-;6
"Lapa";-;-;1;-;-;-;6;3;-;10
"Liberdade";-;-;-;-;1;1;5;2;-;9
"Limão";-;1;-;-;-;1;2;4;-;8
"Mandaqui";-;-;-;-;-;2;3;1;-;6
"Marsilac";-;-;-;-;-;-;-;-;-;-
"Moema";1;-;-;-;-;-;1;5;-;7
"Moóca";-;-;1;-;-;1;2;2;-;6
"Morumbi";-;-;-;-;-;1;1;-;-;2
"Parelheiros";-;-;-;-;2;3;1;1;-;7
"Pari";-;-;-;-;-;1;-;2;-;3
"Parque do Carmo";-;-;-;-;-;-;1;1;-;2
"Pedreira";-;1;-;-;1;1;2;4;-;9
"Penha";-;-;-;-;-;1;5;8;-;14
"Perdizes";-;-;-;-;-;2;-;3;-;5
"Perus";-;-;-;-;-;-;-;2;-;2
"Pinheiros";-;-;-;1;1;-;1;2;-;5
"Pirituba";-;-;-;-;-;2;3;1;-;6
"Ponte Rasa";-;-;-;1;1;-;1;1;-;4
"Raposo Tavares";-;-;-;-;1;2;2;-;-;5
"República";-;-;-;-;-;-;1;1;-;2
"Rio Pequeno";-;-;-;-;-;1;-;4;-;5
"Sacomã";-;-;-;-;-;3;4;2;-;9
"Santa Cecília";-;-;-;-;1;1;2;1;-;5
"Santana";-;-;-;-;1;1;4;5;-;11
"Santo Amaro";-;-;-;-;-;-;1;-;-;1
"São Domingos";-;-;-;-;-;1;-;2;-;3
"São Lucas";-;-;-;-;1;1;3;2;-;7
"São Mateus";-;-;-;-;-;1;2;3;-;6
"São Miguel";-;-;-;-;1;-;2;3;-;6
"São Rafael";-;-;-;-;1;2;3;2;-;8
"Sapopemba";-;-;-;-;-;2;7;2;-;11
"Saúde";-;-;-;-;-;2;4;5;-;11
"Sé";-;-;-;-;-;1;-;1;-;2
"Socorro";-;-;-;-;1;-;-;-;-;1
"Tatuapé";-;-;-;-;1;1;3;1;-;6
"Tremembé";-;-;-;-;-;4;4;3;-;11
"Tucuruvi";-;-;-;-;-;1;2;3;-;6
"Vila Andrade";-;-;-;-;-;3;1;2;-;6
"Vila Curuçá";-;-;-;-;2;1;1;2;-;6
"Vila Formosa";-;-;-;-;1;2;2;4;-;9
"Vila Guilherme";-;-;-;-;-;2;1;2;-;5
"Vila Jacuí";-;-;-;-;-;2;3;3;-;8
"Vila Leopoldina";-;-;-;-;-;-;1;1;-;2
"Vila Maria";-;-;-;1;1;-;5;2;-;9
"Vila Mariana";-;-;-;-;-;1;3;6;-;10
"Vila Matilde";-;-;-;-;1;-;1;1;-;3
"Vila Medeiros";-;-;-;-;-;1;-;1;-;2
"Vila Prudente";-;-;-;-;-;2;5;2;-;9
"Vila Sônia";-;-;-;-;-;1;5;3;-;9
"Desconhecido";-;-;-;-;-;-;-;-;-;-
"Ignorado";-;-;-;-;1;-;-;1;1;3
"Total";1;2;6;9;52;109;205;200;1;585
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
