Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C22 Neopl malig figado vias biliares intra-hepat
Período:2021
"Distrito Admin residência";"1-4";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Tatuapé";-;-;-;-;-;1;2;3;6
"Tremembé";-;-;-;-;2;2;1;2;7
"Tucuruvi";-;-;-;-;-;2;5;7;14
"Vila Andrade";-;-;-;-;-;1;5;3;9
"Vila Curuçá";-;-;-;-;-;4;2;4;10
"Vila Formosa";-;-;-;-;-;1;3;4;8
"Vila Guilherme";-;-;-;-;-;-;1;-;1
"Vila Jacuí";-;-;-;-;-;2;1;1;4
"Vila Leopoldina";-;-;-;-;-;2;1;2;5
"Vila Maria";-;-;-;-;1;-;2;4;7
"Vila Mariana";-;-;-;-;-;1;2;4;7
"Vila Matilde";-;-;-;-;-;2;-;2;4
"Vila Medeiros";-;-;-;-;-;1;2;3;6
"Vila Prudente";-;-;-;-;-;3;3;3;9
"Vila Sônia";-;-;-;-;1;2;3;2;8
"Desconhecido";-;-;-;-;-;-;-;-;-
"Ignorado";-;-;-;-;-;-;1;-;1
"Total";2;4;1;15;40;146;194;247;649
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
