Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C22 Neopl malig figado vias biliares intra-hepat
Período:2018
"Distrito Admin residência";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Jardim São Luís";-;-;-;-;-;2;8;2;12
"José Bonifácio";-;-;-;1;-;3;1;2;7
"Lajeado";-;-;-;-;1;2;1;3;7
"Lapa";-;-;-;-;1;3;3;3;10
"Liberdade";-;-;-;1;-;1;4;3;9
"Limão";-;-;-;-;-;3;2;3;8
"Mandaqui";-;-;-;1;-;3;3;4;11
"Marsilac";-;-;-;-;-;-;-;-;-
"Moema";-;-;-;-;-;-;2;5;7
"Moóca";-;-;-;-;-;1;1;2;4
"Morumbi";-;-;-;-;-;-;-;2;2
"Parelheiros";-;-;-;1;1;4;3;1;10
"Pari";-;-;-;-;-;-;-;-;-
"Parque do Carmo";-;-;-;-;-;2;-;1;3
"Pedreira";-;-;-;-;1;3;2;2;8
"Penha";-;-;-;-;-;2;2;4;8
"Perdizes";-;-;-;1;-;1;2;3;7
"Perus";-;-;-;-;-;2;1;-;3
"Pinheiros";-;-;-;-;-;-;2;4;6
"Pirituba";-;-;-;-;-;3;5;3;11
"Ponte Rasa";-;-;-;-;-;1;1;2;4
"Raposo Tavares";-;-;1;-;-;1;3;1;6
"República";-;-;-;-;-;-;1;-;1
"Rio Pequeno";-;-;-;-;-;1;1;3;5
"Sacomã";-;-;-;-;3;3;2;6;14
"Santa Cecília";-;-;-;-;-;1;1;-;2
"Santana";-;-;-;-;-;3;-;2;5
"Santo Amaro";-;-;-;-;-;-;1;1;2
"São Domingos";-;-;-;-;-;2;-;5;7
"São Lucas";-;-;-;-;-;2;4;8;14
"São Mateus";-;1;-;-;-;3;3;1;8
"São Miguel";-;-;-;1;2;1;1;2;7
"São Rafael";-;-;-;1;-;-;5;-;6
"Sapopemba";-;-;-;2;2;1;9;5;19
"Saúde";-;-;-;-;-;2;4;4;10
"Sé";-;-;-;-;-;1;1;1;3
"Socorro";-;-;-;-;-;1;1;1;3
"Tatuapé";-;-;-;-;-;5;-;8;13
"Tremembé";-;-;-;-;4;1;2;1;8
"Tucuruvi";-;-;-;-;1;-;3;6;10
"Vila Andrade";-;-;-;1;2;1;3;2;9
"Vila Curuçá";-;-;-;-;-;1;6;2;9
"Vila Formosa";-;-;-;-;1;1;1;1;4
"Vila Guilherme";-;-;-;-;-;2;-;2;4
"Vila Jacuí";-;2;-;-;2;-;3;2;9
"Vila Leopoldina";-;-;-;-;-;-;-;-;-
"Vila Maria";1;-;-;-;2;2;2;4;11
"Vila Mariana";-;-;-;-;-;4;1;8;13
"Vila Matilde";-;-;-;-;-;3;4;3;10
"Vila Medeiros";-;-;-;-;1;2;4;2;9
"Vila Prudente";-;-;-;-;-;1;3;4;8
"Vila Sônia";-;-;-;-;-;1;-;3;4
"Desconhecido";-;-;-;-;-;-;-;-;-
"Ignorado";-;-;-;-;-;-;1;-;1
"Total";1;4;1;20;64;152;211;241;694
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
