Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C22 Neopl malig figado vias biliares intra-hepat
Período:2024
"Distrito Admin residência";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Vila Guilherme";-;-;-;-;-;-;1;1;2
"Vila Jacuí";-;1;-;-;-;-;3;2;6
"Vila Leopoldina";-;-;-;-;-;1;3;1;5
"Vila Maria";-;-;-;-;-;2;1;3;6
"Vila Mariana";-;-;-;-;-;1;7;8;16
"Vila Matilde";-;-;1;-;-;-;2;2;5
"Vila Medeiros";-;-;-;-;2;3;6;3;14
"Vila Prudente";-;-;-;-;-;3;5;1;9
"Vila Sônia";-;-;-;-;-;1;6;3;10
"Desconhecido";-;-;-;-;-;-;-;-;-
"Ignorado";-;-;-;-;-;1;4;1;6
"Total";2;2;3;19;52;128;245;266;717
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
