Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I27 Outr form de doenc cardiaca pulmonar
Período:2024
"Distrito Admin residência";"<1 Ano";"5-14";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Jaguara";-;-;-;-;-;-;-;-;-;-
"Jaguaré";-;-;-;-;-;-;-;-;-;-
"Jaraguá";-;-;1;-;-;-;1;-;-;2
"Jardim Ângela";-;-;-;-;-;-;-;-;-;-
"Jardim Helena";-;-;-;-;-;-;-;-;-;-
"Jardim Paulista";-;-;-;-;-;-;-;-;-;-
"Jardim São Luís";-;-;-;-;-;-;-;1;-;1
"José Bonifácio";-;-;-;-;-;-;-;-;-;-
"Lajeado";-;-;-;-;-;-;-;-;-;-
"Lapa";-;-;-;-;-;-;-;-;-;-
"Liberdade";-;-;-;-;-;-;-;-;-;-
"Limão";-;-;-;-;-;-;-;1;-;1
"Mandaqui";-;-;-;-;-;-;1;-;-;1
"Marsilac";-;-;-;-;-;-;-;-;-;-
"Moema";-;-;-;-;-;-;-;1;-;1
"Moóca";-;-;-;-;-;-;-;-;-;-
"Morumbi";-;-;-;-;-;-;-;1;-;1
"Parelheiros";-;-;-;-;-;-;-;-;-;-
"Pari";-;-;-;-;-;-;-;-;-;-
"Parque do Carmo";-;-;-;-;-;-;-;-;-;-
"Pedreira";-;-;-;-;-;-;-;-;-;-
"Penha";-;-;-;-;-;-;-;-;-;-
"Perdizes";-;-;-;-;-;-;-;2;-;2
"Perus";-;-;-;1;-;-;-;-;-;1
"Pinheiros";-;-;-;-;-;-;-;-;-;-
"Pirituba";-;-;-;-;-;-;-;-;-;-
"Ponte Rasa";-;-;-;-;-;-;1;1;-;2
"Raposo Tavares";-;-;-;-;1;-;-;-;-;1
"República";-;-;-;-;-;-;-;1;-;1
"Rio Pequeno";-;-;-;-;-;-;-;1;-;1
"Sacomã";-;-;-;-;-;-;-;-;-;-
"Santa Cecília";-;-;-;-;-;-;1;-;-;1
"Santana";-;-;-;-;-;-;-;-;-;-
"Santo Amaro";-;-;-;-;-;-;-;1;-;1
"São Domingos";-;-;-;-;-;-;-;-;-;-
"São Lucas";-;-;-;-;-;-;-;-;-;-
"São Mateus";-;-;-;-;-;-;1;-;-;1
"São Miguel";-;-;-;-;-;-;-;-;-;-
"São Rafael";-;-;-;-;-;-;-;1;-;1
"Sapopemba";-;-;-;-;-;-;1;-;-;1
"Saúde";-;-;-;-;-;-;-;1;-;1
"Sé";-;-;-;-;-;-;-;-;-;-
"Socorro";-;-;-;-;1;-;-;-;-;1
"Tatuapé";-;-;-;-;-;-;-;-;-;-
"Tremembé";-;-;-;-;-;-;-;2;-;2
"Tucuruvi";-;-;-;-;-;-;-;-;-;-
"Vila Andrade";-;-;-;-;-;-;-;-;-;-
"Vila Curuçá";-;-;-;-;-;-;-;-;-;-
"Vila Formosa";-;-;-;-;-;-;-;1;-;1
"Vila Guilherme";-;-;-;-;-;-;-;1;-;1
"Vila Jacuí";-;-;-;-;-;-;-;1;-;1
"Vila Leopoldina";-;-;-;-;-;-;-;-;-;-
"Vila Maria";-;-;-;-;-;-;-;-;-;-
"Vila Mariana";-;-;-;-;1;-;-;1;-;2
"Vila Matilde";-;-;-;-;-;-;-;-;-;-
"Vila Medeiros";-;-;-;-;-;-;-;-;-;-
"Vila Prudente";-;-;-;-;-;-;-;2;-;2
"Vila Sônia";-;-;-;-;-;-;-;-;-;-
"Desconhecido";-;-;-;-;-;-;-;-;-;-
"Ignorado";-;-;-;-;-;-;-;-;1;1
"Total";4;1;3;5;6;1;9;30;1;60
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
