Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I27 Outr form de doenc cardiaca pulmonar
Período:2025
"Distrito Admin residência";"<1 Ano";"1-4";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Itaim Bibi";-;-;-;-;-;-;-;-;-;-
"Itaim Paulista";-;-;-;-;-;-;-;-;-;-
"Itaquera";-;-;-;-;-;-;-;-;-;-
"Jabaquara";-;-;-;-;-;-;-;-;-;-
"Jaçanã";-;-;-;-;-;-;-;-;-;-
"Jaguara";-;-;-;-;-;-;-;-;-;-
"Jaguaré";-;-;-;-;-;-;-;-;-;-
"Jaraguá";-;-;-;-;-;-;-;-;-;-
"Jardim Ângela";-;-;-;-;-;-;-;-;-;-
"Jardim Helena";-;-;-;-;-;-;-;-;-;-
"Jardim Paulista";-;-;-;-;-;-;-;-;-;-
"Jardim São Luís";-;-;-;-;-;-;1;-;-;1
"José Bonifácio";-;-;-;-;-;-;-;-;-;-
"Lajeado";-;-;-;-;-;-;-;1;-;1
"Lapa";-;-;-;-;-;-;-;-;-;-
"Liberdade";-;-;-;-;-;-;-;-;-;-
"Limão";-;-;-;-;-;-;-;-;-;-
"Mandaqui";-;-;-;-;-;-;-;-;-;-
"Marsilac";-;-;-;-;-;-;-;-;-;-
"Moema";-;-;-;-;-;-;-;-;-;-
"Moóca";-;-;-;-;-;-;-;1;-;1
"Morumbi";-;-;-;-;-;-;-;-;-;-
"Parelheiros";-;-;-;-;-;-;-;-;-;-
"Pari";-;-;-;-;-;-;-;-;-;-
"Parque do Carmo";-;-;-;-;-;-;-;-;-;-
"Pedreira";-;-;-;-;-;-;-;-;-;-
"Penha";-;-;-;-;-;-;-;-;-;-
"Perdizes";-;-;-;-;-;-;-;-;-;-
"Perus";-;-;-;-;-;-;-;-;-;-
"Pinheiros";-;-;-;-;-;-;-;-;1;1
"Pirituba";-;-;-;-;-;-;-;-;-;-
"Ponte Rasa";-;-;-;-;-;-;-;-;-;-
"Raposo Tavares";-;-;-;-;-;-;-;-;-;-
"República";-;-;-;-;-;-;-;-;-;-
"Rio Pequeno";-;-;-;-;-;-;-;-;-;-
"Sacomã";-;-;-;-;1;-;-;-;-;1
"Santa Cecília";-;-;-;-;-;-;-;-;-;-
"Santana";-;-;-;-;-;-;-;-;1;1
"Santo Amaro";-;-;-;-;-;-;-;-;1;1
"São Domingos";-;-;-;-;-;-;-;-;-;-
"São Lucas";-;-;-;-;-;-;-;1;-;1
"São Mateus";-;-;-;-;-;-;-;-;-;-
"São Miguel";-;-;-;-;-;-;-;-;1;1
"São Rafael";-;-;-;-;-;-;-;-;-;-
"Sapopemba";-;1;-;-;-;-;-;-;-;1
"Saúde";-;-;-;-;-;1;1;-;-;2
"Sé";-;-;-;-;-;-;-;-;-;-
"Socorro";-;-;-;-;-;-;-;-;-;-
"Tatuapé";-;-;-;-;-;-;-;-;-;-
"Tremembé";-;-;1;-;-;-;-;-;-;1
"Tucuruvi";-;-;-;-;-;-;-;-;1;1
"Vila Andrade";1;-;-;-;-;-;-;1;1;3
"Vila Curuçá";-;-;-;-;-;-;-;-;-;-
"Vila Formosa";-;-;-;-;-;-;-;1;-;1
"Vila Guilherme";-;-;-;-;-;-;-;-;2;2
"Vila Jacuí";-;-;-;-;-;-;-;-;-;-
"Vila Leopoldina";-;-;-;-;-;-;-;-;-;-
"Vila Maria";-;-;-;-;-;-;-;-;-;-
"Vila Mariana";-;-;-;-;-;-;1;-;-;1
"Vila Matilde";-;-;-;1;-;-;-;-;-;1
"Vila Medeiros";-;-;-;-;-;-;-;-;-;-
"Vila Prudente";-;-;-;-;-;-;-;-;-;-
"Vila Sônia";-;-;-;-;-;-;-;-;-;-
"Desconhecido";-;-;-;-;-;-;-;-;-;-
"Ignorado";-;-;-;-;-;-;-;-;1;1
"Total";2;1;2;2;2;2;4;7;14;36
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
