Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I27 Outr form de doenc cardiaca pulmonar
Período:2019
"Distrito Admin residência";"<1 Ano";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Santo Amaro";-;-;-;-;-;-;-;-;-
"São Domingos";-;-;-;-;-;-;-;-;-
"São Lucas";-;-;-;-;-;-;-;-;-
"São Mateus";-;-;-;-;-;-;-;-;-
"São Miguel";-;-;-;-;-;-;-;-;-
"São Rafael";-;-;-;-;-;-;-;-;-
"Sapopemba";-;-;-;1;1;-;-;-;2
"Saúde";-;-;-;-;-;-;-;-;-
"Sé";-;-;-;-;-;-;-;-;-
"Socorro";-;-;-;-;-;-;-;-;-
"Tatuapé";-;-;-;-;-;-;-;-;-
"Tremembé";-;-;-;-;-;-;-;-;-
"Tucuruvi";-;-;-;-;-;-;1;-;1
"Vila Andrade";-;-;-;-;-;-;-;-;-
"Vila Curuçá";-;-;-;-;-;-;2;-;2
"Vila Formosa";-;-;-;-;-;-;-;-;-
"Vila Guilherme";-;-;-;1;-;-;-;1;2
"Vila Jacuí";-;-;-;-;1;-;-;-;1
"Vila Leopoldina";-;-;-;-;-;-;-;-;-
"Vila Maria";-;-;-;-;-;-;-;-;-
"Vila Mariana";-;-;-;-;-;-;-;1;1
"Vila Matilde";-;-;-;-;-;-;-;-;-
"Vila Medeiros";-;-;-;-;-;-;1;-;1
"Vila Prudente";-;-;-;-;-;-;-;-;-
"Vila Sônia";-;-;-;-;-;-;-;-;-
"Desconhecido";-;-;-;-;-;-;-;-;-
"Ignorado";-;-;-;-;-;-;-;-;-
"Total";1;1;1;5;4;7;13;26;58
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
