Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C18 Neopl malig do colon
Período:2022
"Distrito Admin residência";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Moóca";-;-;-;-;1;-;6;4;11
"Morumbi";-;-;-;-;-;-;-;4;4
"Parelheiros";-;-;-;-;1;2;2;2;7
"Pari";-;-;-;-;-;-;-;-;-
"Parque do Carmo";-;-;1;1;-;-;3;1;6
"Pedreira";-;-;-;-;-;1;2;4;7
"Penha";-;-;-;1;1;3;2;13;20
"Perdizes";-;-;1;-;-;1;2;8;12
"Perus";-;-;-;1;-;2;3;3;9
"Pinheiros";-;-;-;-;1;-;3;4;8
"Pirituba";-;-;-;2;-;6;5;10;23
"Ponte Rasa";-;-;-;1;2;1;7;4;15
"Raposo Tavares";-;-;-;-;-;1;4;6;11
"República";-;-;-;-;1;2;1;2;6
"Rio Pequeno";-;-;-;-;-;2;4;11;17
"Sacomã";-;-;-;2;-;5;8;4;19
"Santa Cecília";-;-;-;-;1;5;2;12;20
"Santana";-;-;1;1;-;3;7;11;23
"Santo Amaro";-;-;-;-;-;1;1;7;9
"São Domingos";-;-;1;-;-;1;2;6;10
"São Lucas";-;-;-;-;2;3;3;11;19
"São Mateus";-;1;-;2;3;3;4;2;15
"São Miguel";-;-;-;-;-;4;2;2;8
"São Rafael";-;-;-;-;1;4;4;1;10
"Sapopemba";-;-;-;1;-;2;9;4;16
"Saúde";-;-;-;-;2;3;3;10;18
"Sé";-;-;-;-;-;-;-;-;-
"Socorro";-;-;-;-;-;1;-;2;3
"Tatuapé";-;-;-;-;-;3;8;12;23
"Tremembé";-;-;-;-;2;6;4;8;20
"Tucuruvi";-;-;1;-;1;3;2;8;15
"Vila Andrade";-;-;-;1;1;3;-;8;13
"Vila Curuçá";-;-;-;-;-;6;1;5;12
"Vila Formosa";-;-;-;-;2;1;2;12;17
"Vila Guilherme";-;-;-;1;1;-;1;6;9
"Vila Jacuí";-;-;-;1;1;3;5;4;14
"Vila Leopoldina";-;-;-;-;1;3;-;3;7
"Vila Maria";-;-;-;1;2;3;5;8;19
"Vila Mariana";-;-;-;-;2;4;3;9;18
"Vila Matilde";-;-;-;-;2;3;3;5;13
"Vila Medeiros";-;-;-;-;1;2;4;8;15
"Vila Prudente";-;-;-;-;-;2;4;6;12
"Vila Sônia";-;-;-;-;3;1;-;4;8
"Desconhecido";-;-;-;-;-;-;-;-;-
"Ignorado";-;-;-;-;-;2;1;4;7
"Total";1;1;11;51;104;225;327;491;1211
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
