Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C18 Neopl malig do colon
Período:2018
"Distrito Admin residência";"<1 Ano";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Vila Guilherme";-;-;-;-;1;1;-;4;6
"Vila Jacuí";-;-;-;-;2;3;7;3;15
"Vila Leopoldina";-;-;-;-;-;2;2;5;9
"Vila Maria";1;-;1;-;2;3;4;4;15
"Vila Mariana";-;-;-;1;1;4;3;11;20
"Vila Matilde";-;-;-;1;-;2;5;8;16
"Vila Medeiros";-;-;-;1;1;4;3;10;19
"Vila Prudente";-;-;-;1;-;2;4;6;13
"Vila Sônia";-;-;1;-;1;4;5;10;21
"Desconhecido";-;-;-;-;-;-;-;1;1
"Ignorado";-;-;1;1;-;-;-;-;2
"Total";1;3;14;42;101;228;321;528;1238
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
