Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I24 Outr doenc isquemicas agudas do coracao
Período:2025
"Distrito Admin residência";"1-4";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Iguatemi";-;-;-;-;-;1;-;-;2;-;3
"Ipiranga";-;-;-;-;-;1;1;3;4;-;9
"Itaim Bibi";-;-;-;-;1;-;-;1;1;-;3
"Itaim Paulista";-;-;-;-;-;-;1;-;1;-;2
"Itaquera";-;-;-;-;-;-;-;-;2;-;2
"Jabaquara";-;-;-;-;-;2;1;2;4;-;9
"Jaçanã";-;-;-;-;-;-;-;-;-;-;-
"Jaguara";-;-;-;-;1;-;-;-;-;-;1
"Jaguaré";-;-;-;-;-;-;-;-;1;-;1
"Jaraguá";-;-;-;-;-;-;-;1;-;-;1
"Jardim Ângela";1;1;2;-;-;2;1;2;3;-;12
"Jardim Helena";-;-;-;-;-;-;-;1;-;-;1
"Jardim Paulista";-;-;-;-;-;-;-;-;2;-;2
"Jardim São Luís";-;-;-;2;-;1;-;1;5;-;9
"José Bonifácio";-;-;-;-;-;-;-;-;-;-;-
"Lajeado";-;-;1;-;-;-;-;1;2;-;4
"Lapa";-;-;-;-;-;-;-;1;1;-;2
"Liberdade";-;-;-;-;-;-;1;1;3;-;5
"Limão";-;-;-;-;-;-;-;2;-;-;2
"Mandaqui";-;-;-;-;-;-;-;-;1;-;1
"Marsilac";-;-;-;-;-;-;-;-;-;-;-
"Moema";-;-;-;-;-;-;-;1;4;-;5
"Moóca";-;-;-;-;-;-;-;1;1;-;2
"Morumbi";-;-;-;-;-;-;-;-;2;-;2
"Parelheiros";-;-;-;-;1;-;2;1;1;-;5
"Pari";-;-;-;-;-;-;-;-;1;-;1
"Parque do Carmo";-;-;-;-;-;-;-;-;-;-;-
"Pedreira";-;-;-;1;-;-;1;1;2;-;5
"Penha";-;-;-;-;-;-;-;2;3;-;5
"Perdizes";-;-;-;-;-;-;-;1;3;-;4
"Perus";-;-;-;-;-;-;1;-;-;-;1
"Pinheiros";-;-;-;-;-;-;-;-;1;-;1
"Pirituba";-;-;-;-;-;-;1;1;4;-;6
"Ponte Rasa";-;-;-;-;-;-;-;-;1;-;1
"Raposo Tavares";-;-;-;-;-;-;-;1;-;-;1
"República";-;-;-;-;-;-;-;-;-;-;-
"Rio Pequeno";-;-;-;-;-;-;-;-;2;-;2
"Sacomã";-;-;-;-;-;1;1;2;3;-;7
"Santa Cecília";-;-;-;-;-;-;-;-;3;-;3
"Santana";-;-;-;-;-;-;-;1;4;-;5
"Santo Amaro";-;-;-;-;-;-;2;-;4;-;6
"São Domingos";-;-;-;-;-;-;-;-;2;-;2
"São Lucas";-;-;-;-;-;-;-;-;-;-;-
"São Mateus";-;-;-;-;-;-;-;-;-;-;-
"São Miguel";-;-;-;-;-;-;-;-;2;-;2
"São Rafael";-;-;-;-;-;-;-;-;-;-;-
"Sapopemba";-;-;1;-;-;-;1;1;-;-;3
"Saúde";-;-;1;1;-;-;1;-;1;-;4
"Sé";-;-;-;-;-;-;-;-;-;-;-
"Socorro";-;-;-;-;-;-;-;-;1;-;1
"Tatuapé";-;-;-;-;-;-;-;-;1;-;1
"Tremembé";-;-;-;-;-;-;-;1;1;-;2
"Tucuruvi";-;-;-;-;-;-;-;1;1;-;2
"Vila Andrade";-;-;-;-;-;-;-;1;1;-;2
"Vila Curuçá";-;-;-;-;-;-;-;-;1;-;1
"Vila Formosa";-;-;-;-;-;-;-;-;2;-;2
"Vila Guilherme";-;-;-;-;-;-;-;-;-;-;-
"Vila Jacuí";-;-;-;-;-;-;-;-;1;-;1
"Vila Leopoldina";-;-;-;-;-;-;-;-;2;-;2
"Vila Maria";-;-;-;-;1;-;-;2;1;-;4
"Vila Mariana";-;-;-;-;-;-;-;-;4;-;4
"Vila Matilde";-;-;-;-;-;-;1;1;1;-;3
"Vila Medeiros";-;-;-;-;-;-;-;-;1;-;1
"Vila Prudente";-;-;-;-;-;-;1;-;2;-;3
"Vila Sônia";-;-;-;-;-;-;-;-;1;-;1
"Desconhecido";-;-;-;-;-;-;-;-;-;-;-
"Ignorado";-;-;-;1;-;3;1;2;4;1;12
"Total";1;1;6;6;8;19;26;45;138;1;251
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
