Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I24 Outr doenc isquemicas agudas do coracao
Período:2024
"Distrito Admin residência";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Perdizes";-;-;-;-;-;-;-;4;4
"Perus";-;-;-;-;1;-;-;-;1
"Pinheiros";-;-;-;-;-;-;-;4;4
"Pirituba";-;-;-;-;-;-;1;3;4
"Ponte Rasa";-;-;-;-;-;-;-;2;2
"Raposo Tavares";-;-;-;-;-;-;-;-;-
"República";-;-;-;-;-;-;-;1;1
"Rio Pequeno";-;-;-;-;-;-;1;1;2
"Sacomã";-;-;1;1;-;-;1;1;4
"Santa Cecília";-;-;-;-;-;-;-;3;3
"Santana";-;-;-;-;-;-;-;-;-
"Santo Amaro";-;-;-;-;-;-;2;9;11
"São Domingos";-;-;-;-;-;-;-;2;2
"São Lucas";-;-;-;-;-;1;1;6;8
"São Mateus";-;-;-;-;-;-;-;1;1
"São Miguel";-;-;-;-;-;1;-;-;1
"São Rafael";-;-;-;-;-;-;1;1;2
"Sapopemba";-;-;-;-;-;-;-;-;-
"Saúde";-;-;-;-;-;-;2;7;9
"Sé";-;-;-;-;-;-;-;-;-
"Socorro";-;-;-;-;-;-;-;5;5
"Tatuapé";-;-;-;-;-;-;1;3;4
"Tremembé";-;-;-;-;-;2;1;4;7
"Tucuruvi";-;-;-;-;1;-;1;4;6
"Vila Andrade";-;-;-;-;-;-;-;1;1
"Vila Curuçá";-;-;-;-;-;-;-;1;1
"Vila Formosa";-;-;-;-;-;-;-;1;1
"Vila Guilherme";-;-;-;1;-;-;-;-;1
"Vila Jacuí";-;-;-;-;-;-;1;-;1
"Vila Leopoldina";-;-;-;-;1;-;-;-;1
"Vila Maria";-;-;-;-;-;-;-;1;1
"Vila Mariana";-;-;-;-;1;1;-;1;3
"Vila Matilde";-;-;-;-;-;-;-;4;4
"Vila Medeiros";-;-;-;-;-;-;-;2;2
"Vila Prudente";-;-;-;-;-;-;-;2;2
"Vila Sônia";-;-;-;-;-;-;-;1;1
"Desconhecido";-;-;-;-;-;-;-;-;-
"Ignorado";-;-;-;1;-;-;1;2;4
"Total";2;4;3;9;23;20;46;174;281
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
