Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C50 Neopl malig da mama
Período:2024
"Distrito Admin residência";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Itaquera";-;-;3;3;7;4;5;-;22
"Jabaquara";-;-;1;9;12;6;7;-;35
"Jaçanã";-;-;-;1;2;4;2;-;9
"Jaguara";-;1;-;1;-;-;1;-;3
"Jaguaré";-;-;-;1;1;-;1;-;3
"Jaraguá";-;-;2;6;4;8;1;-;21
"Jardim Ângela";-;2;2;6;10;2;1;-;23
"Jardim Helena";-;2;-;5;6;6;1;-;20
"Jardim Paulista";-;-;-;-;2;3;4;-;9
"Jardim São Luís";-;1;5;7;10;6;6;-;35
"José Bonifácio";-;-;-;3;3;-;3;-;9
"Lajeado";-;-;3;3;3;3;2;-;14
"Lapa";-;-;1;-;4;2;3;-;10
"Liberdade";-;1;-;-;1;4;2;-;8
"Limão";-;-;1;3;1;3;5;-;13
"Mandaqui";-;-;-;1;4;2;8;-;15
"Marsilac";-;-;1;1;-;-;-;-;2
"Moema";-;-;2;2;3;1;5;-;13
"Moóca";-;1;1;4;1;2;7;-;16
"Morumbi";-;-;1;-;-;2;2;-;5
"Parelheiros";-;2;5;2;2;2;1;-;14
"Pari";-;-;-;1;1;-;1;-;3
"Parque do Carmo";-;-;3;-;4;2;2;-;11
"Pedreira";1;-;3;6;3;4;1;-;18
"Penha";-;1;3;3;4;3;4;-;18
"Perdizes";-;-;2;1;2;3;4;-;12
"Perus";-;-;1;-;3;3;-;-;7
"Pinheiros";-;-;1;1;1;1;4;-;8
"Pirituba";-;-;2;3;8;3;6;-;22
"Ponte Rasa";-;-;5;1;-;3;3;-;12
"Raposo Tavares";-;-;1;3;3;1;1;-;9
"República";-;-;-;-;1;1;3;-;5
"Rio Pequeno";-;-;3;5;4;4;9;-;25
"Sacomã";-;1;1;8;10;7;9;-;36
"Santa Cecília";-;1;1;2;-;2;6;-;12
"Santana";-;1;1;4;1;3;12;-;22
"Santo Amaro";-;-;1;1;1;4;2;-;9
"São Domingos";-;-;1;-;4;1;2;-;8
"São Lucas";-;-;1;12;-;2;7;-;22
"São Mateus";-;1;1;3;4;6;-;-;15
"São Miguel";-;-;3;3;1;4;3;-;14
"São Rafael";-;-;4;5;3;1;2;-;15
"Sapopemba";-;-;1;7;8;9;5;-;30
"Saúde";-;-;-;1;2;3;8;-;14
"Sé";-;-;-;1;2;-;1;-;4
"Socorro";-;-;-;1;2;3;3;-;9
"Tatuapé";-;-;1;-;2;9;13;-;25
"Tremembé";-;-;7;1;7;4;7;-;26
"Tucuruvi";-;1;1;3;2;6;4;-;17
"Vila Andrade";-;-;-;5;-;5;3;-;13
"Vila Curuçá";-;-;3;1;4;6;2;-;16
"Vila Formosa";-;-;-;3;1;3;8;-;15
"Vila Guilherme";-;-;-;1;2;3;4;-;10
"Vila Jacuí";-;2;4;3;5;4;1;-;19
"Vila Leopoldina";-;-;1;4;1;2;1;-;9
"Vila Maria";-;-;2;1;5;8;6;-;22
"Vila Mariana";-;-;2;1;1;4;12;-;20
"Vila Matilde";-;-;2;-;6;5;4;-;17
"Vila Medeiros";-;-;2;2;4;8;4;-;20
"Vila Prudente";-;-;-;1;2;4;5;-;12
"Vila Sônia";-;1;3;3;1;1;8;1;18
"Desconhecido";-;-;-;-;-;-;-;-;-
"Ignorado";-;-;1;-;2;2;2;-;7
"Total";1;34;139;260;307;324;376;1;1442
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
