Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I25 Doenc isquemica cronica do coracao
Período:2022
"Distrito Admin residência";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Vila Andrade";-;-;-;1;2;2;4;6;-;15
"Vila Curuçá";-;-;-;-;2;2;4;6;-;14
"Vila Formosa";-;-;-;-;-;1;7;14;-;22
"Vila Guilherme";-;-;-;-;-;3;5;9;-;17
"Vila Jacuí";-;-;-;1;2;6;6;7;-;22
"Vila Leopoldina";-;-;-;-;-;-;-;2;-;2
"Vila Maria";-;-;-;-;1;7;5;14;-;27
"Vila Mariana";-;-;-;1;2;-;2;22;-;27
"Vila Matilde";-;-;-;-;1;6;6;11;-;24
"Vila Medeiros";-;-;-;1;-;4;12;15;-;32
"Vila Prudente";-;-;-;1;-;6;8;12;-;27
"Vila Sônia";-;-;-;1;1;2;2;11;-;17
"Desconhecido";-;-;-;-;-;-;-;-;-;-
"Ignorado";-;-;1;3;4;8;7;7;4;34
"Total";3;13;43;84;192;456;660;1287;5;2743
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
