Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I25 Doenc isquemica cronica do coracao
Período:2023
"Distrito Admin residência";"1-4";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Jaguaré";-;-;-;-;1;-;5;2;8;-;16
"Jaraguá";-;-;-;-;-;-;12;12;18;-;42
"Jardim Ângela";-;-;1;3;7;7;15;11;17;-;61
"Jardim Helena";-;-;-;1;-;2;4;5;11;-;23
"Jardim Paulista";-;-;-;-;-;1;1;2;13;-;17
"Jardim São Luís";-;-;1;-;8;5;4;16;24;-;58
"José Bonifácio";-;-;-;-;-;1;2;7;12;-;22
"Lajeado";-;-;-;-;1;1;16;7;12;-;37
"Lapa";-;-;-;-;-;1;2;2;16;-;21
"Liberdade";-;-;-;-;-;2;-;4;11;-;17
"Limão";-;-;-;-;2;2;5;5;9;-;23
"Mandaqui";-;-;-;-;-;2;3;9;23;-;37
"Marsilac";-;-;-;-;-;1;2;1;-;-;4
"Moema";-;-;-;-;-;1;1;3;7;-;12
"Moóca";-;-;-;-;1;1;2;4;14;-;22
"Morumbi";-;-;-;-;-;2;-;-;8;-;10
"Parelheiros";-;-;2;1;4;8;9;19;17;-;60
"Pari";-;-;-;-;-;-;-;1;3;-;4
"Parque do Carmo";-;-;-;-;-;2;1;3;11;-;17
"Pedreira";-;-;-;1;4;1;8;10;8;-;32
"Penha";-;-;-;-;-;-;2;9;18;-;29
"Perdizes";-;-;-;-;-;-;1;6;13;-;20
"Perus";-;-;-;-;-;3;5;7;6;-;21
"Pinheiros";-;-;-;-;-;1;-;1;8;-;10
"Pirituba";-;-;-;-;1;2;6;7;24;-;40
"Ponte Rasa";-;-;-;-;-;2;2;5;8;-;17
"Raposo Tavares";-;-;-;-;1;3;1;7;15;-;27
"República";-;-;-;-;-;1;1;2;9;-;13
"Rio Pequeno";-;-;-;-;-;1;4;3;17;-;25
"Sacomã";-;1;-;1;3;9;16;19;25;-;74
"Santa Cecília";-;-;-;-;-;1;3;3;7;-;14
"Santana";-;-;-;-;1;-;5;4;13;-;23
"Santo Amaro";-;-;-;-;1;1;7;9;22;-;40
"São Domingos";-;-;-;-;1;-;2;4;8;-;15
"São Lucas";-;-;-;-;-;1;4;7;24;-;36
"São Mateus";-;-;-;-;1;2;6;9;12;-;30
"São Miguel";-;-;-;-;1;2;4;6;9;-;22
"São Rafael";-;-;-;2;-;2;6;8;11;-;29
"Sapopemba";-;-;-;-;-;1;6;10;33;-;50
"Saúde";-;-;-;-;-;3;3;5;18;-;29
"Sé";-;-;-;-;-;-;1;-;2;-;3
"Socorro";-;-;1;1;-;2;-;6;9;-;19
"Tatuapé";-;-;-;1;-;2;5;2;12;-;22
"Tremembé";-;-;-;1;5;4;6;17;23;-;56
"Tucuruvi";-;-;-;1;1;2;2;6;18;-;30
"Vila Andrade";-;-;-;2;1;2;3;5;11;-;24
"Vila Curuçá";-;-;-;-;-;1;3;9;13;-;26
"Vila Formosa";-;-;-;-;-;2;3;6;19;-;30
"Vila Guilherme";-;-;-;-;-;-;1;6;10;-;17
"Vila Jacuí";-;-;-;-;-;3;3;3;7;-;16
"Vila Leopoldina";-;-;-;-;-;-;1;2;2;-;5
"Vila Maria";-;-;-;-;-;1;3;3;10;-;17
"Vila Mariana";-;-;-;-;-;1;3;2;19;-;25
"Vila Matilde";-;-;-;-;-;1;8;6;22;-;37
"Vila Medeiros";-;-;-;-;-;2;5;7;19;-;33
"Vila Prudente";-;-;-;-;-;2;3;9;18;-;32
"Vila Sônia";-;-;1;-;-;1;1;8;7;-;18
"Desconhecido";-;-;-;-;-;-;-;-;-;-;-
"Ignorado";-;-;-;1;3;4;6;3;4;2;23
"Total";1;1;14;29;98;199;410;624;1350;4;2730
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
