Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I25 Doenc isquemica cronica do coracao
Período:2019
"Distrito Admin residência";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Sacomã";-;-;-;3;4;18;22;28;-;75
"Santa Cecília";-;-;-;1;-;2;3;18;-;24
"Santana";-;-;-;-;-;3;11;20;-;34
"Santo Amaro";-;-;1;1;2;6;8;19;-;37
"São Domingos";-;-;-;-;-;7;4;10;-;21
"São Lucas";-;-;-;-;5;11;3;23;-;42
"São Mateus";-;-;-;-;-;8;14;17;-;39
"São Miguel";-;-;-;-;1;6;7;16;-;30
"São Rafael";-;1;-;1;3;7;10;12;-;34
"Sapopemba";-;-;-;1;5;15;16;38;-;75
"Saúde";-;-;-;-;-;4;7;15;-;26
"Sé";-;-;-;-;1;1;1;7;-;10
"Socorro";-;1;-;-;2;3;2;7;-;15
"Tatuapé";-;-;1;-;-;3;8;14;-;26
"Tremembé";-;-;1;-;1;12;19;21;-;54
"Tucuruvi";-;-;-;-;1;5;8;21;-;35
"Vila Andrade";-;-;-;2;2;3;4;5;-;16
"Vila Curuçá";-;-;-;-;1;4;13;24;-;42
"Vila Formosa";-;-;-;-;-;4;12;21;-;37
"Vila Guilherme";-;-;-;1;1;-;5;12;-;19
"Vila Jacuí";-;-;-;-;4;3;11;13;-;31
"Vila Leopoldina";-;-;-;-;-;1;1;4;-;6
"Vila Maria";-;-;-;1;1;4;7;11;-;24
"Vila Mariana";-;-;-;1;-;2;9;20;-;32
"Vila Matilde";-;-;-;1;2;8;11;27;-;49
"Vila Medeiros";-;-;-;-;1;3;9;23;-;36
"Vila Prudente";-;-;1;-;2;5;9;18;-;35
"Vila Sônia";-;-;-;2;-;3;4;15;-;24
"Desconhecido";-;-;-;-;-;-;-;-;-;-
"Ignorado";-;-;-;-;4;4;6;1;6;21
"Total";1;9;15;61;193;515;737;1559;6;3096
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
