Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I25 Doenc isquemica cronica do coracao
Período:2020
"Distrito Admin residência";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Lajeado";1;-;-;1;5;4;4;-;15
"Lapa";-;-;-;1;1;2;7;-;11
"Liberdade";-;-;-;-;2;2;5;-;9
"Limão";-;-;-;1;2;1;10;-;14
"Mandaqui";-;-;-;1;3;5;7;-;16
"Marsilac";-;-;-;-;-;-;-;-;-
"Moema";-;-;2;2;2;1;6;-;13
"Moóca";-;1;-;-;1;1;10;-;13
"Morumbi";-;-;-;2;-;2;4;-;8
"Parelheiros";2;-;3;3;3;-;6;-;17
"Pari";-;-;-;-;-;-;-;-;-
"Parque do Carmo";-;-;-;1;-;2;1;-;4
"Pedreira";-;1;2;2;3;2;1;-;11
"Penha";-;-;-;-;1;5;17;-;23
"Perdizes";-;-;-;2;1;4;11;-;18
"Perus";-;-;-;-;3;-;3;-;6
"Pinheiros";-;-;-;-;1;-;8;-;9
"Pirituba";1;-;-;1;4;5;8;-;19
"Ponte Rasa";-;-;-;-;2;2;2;-;6
"Raposo Tavares";-;-;1;2;3;3;2;-;11
"República";-;-;-;1;2;2;1;-;6
"Rio Pequeno";-;-;-;-;5;2;8;-;15
"Sacomã";-;-;2;7;9;8;14;-;40
"Santa Cecília";-;-;-;-;1;3;4;-;8
"Santana";-;-;-;1;1;4;9;-;15
"Santo Amaro";-;1;-;-;1;-;7;-;9
"São Domingos";-;-;-;1;-;5;10;-;16
"São Lucas";-;-;-;-;2;3;15;-;20
"São Mateus";-;-;2;1;4;5;7;-;19
"São Miguel";-;-;1;-;1;4;5;-;11
"São Rafael";-;-;-;1;5;-;7;-;13
"Sapopemba";-;-;2;2;7;6;13;-;30
"Saúde";-;-;-;1;2;4;14;-;21
"Sé";-;-;-;-;-;1;1;-;2
"Socorro";-;-;-;-;-;-;4;-;4
"Tatuapé";-;-;1;-;1;4;4;-;10
"Tremembé";-;-;1;5;3;5;11;-;25
"Tucuruvi";-;-;-;-;2;5;7;-;14
"Vila Andrade";1;-;1;1;2;2;6;-;13
"Vila Curuçá";-;-;-;-;4;3;14;-;21
"Vila Formosa";-;-;-;1;-;3;6;-;10
"Vila Guilherme";-;1;-;-;1;1;7;-;10
"Vila Jacuí";-;-;-;-;5;2;6;-;13
"Vila Leopoldina";-;-;-;-;1;2;2;-;5
"Vila Maria";-;-;-;-;4;2;5;-;11
"Vila Mariana";-;-;-;-;3;4;18;-;25
"Vila Matilde";-;-;-;1;4;7;9;-;21
"Vila Medeiros";-;-;-;-;3;4;8;-;15
"Vila Prudente";-;-;-;1;-;2;6;-;9
"Vila Sônia";-;-;-;1;5;1;6;-;13
"Desconhecido";-;-;-;-;-;-;-;-;-
"Ignorado";1;1;2;3;7;1;4;2;21
"Total";14;14;51;122;256;333;673;2;1465
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
