Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I25 Doenc isquemica cronica do coracao
Período:2021
"Distrito Admin residência";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Socorro";-;-;1;-;2;-;1;7;-;11
"Tatuapé";-;-;-;1;-;-;2;6;-;9
"Tremembé";-;-;-;4;2;5;6;11;-;28
"Tucuruvi";-;-;-;1;-;4;1;7;-;13
"Vila Andrade";-;-;1;-;1;6;4;5;-;17
"Vila Curuçá";-;-;-;1;-;1;2;4;-;8
"Vila Formosa";-;-;-;1;-;1;3;11;-;16
"Vila Guilherme";-;-;-;-;2;1;2;5;-;10
"Vila Jacuí";-;-;-;-;1;2;4;5;-;12
"Vila Leopoldina";-;1;-;-;-;1;-;2;-;4
"Vila Maria";-;-;-;-;2;6;2;9;-;19
"Vila Mariana";-;-;-;-;1;1;4;13;-;19
"Vila Matilde";-;-;-;-;-;5;7;8;-;20
"Vila Medeiros";-;-;-;-;1;3;6;12;-;22
"Vila Prudente";-;-;-;-;-;-;3;8;-;11
"Vila Sônia";-;-;-;-;-;2;7;6;-;15
"Desconhecido";-;-;-;-;-;-;-;-;-;-
"Ignorado";-;-;1;2;2;3;4;-;3;15
"Total";1;11;26;71;146;262;380;728;5;1630
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
