Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I25 Doenc isquemica cronica do coracao
Período:2025
"Distrito Admin residência";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Itaim Paulista";-;-;-;3;1;5;9;18;-;36
"Itaquera";-;-;-;1;1;4;4;18;-;28
"Jabaquara";-;-;-;2;1;8;15;23;-;49
"Jaçanã";-;-;-;-;2;5;3;8;-;18
"Jaguara";-;-;-;-;-;1;-;3;-;4
"Jaguaré";-;-;-;-;1;-;3;3;-;7
"Jaraguá";-;-;1;-;4;7;14;23;-;49
"Jardim Ângela";-;2;1;2;6;8;12;13;-;44
"Jardim Helena";-;-;-;-;2;3;6;7;-;18
"Jardim Paulista";-;-;-;-;-;-;-;9;-;9
"Jardim São Luís";-;1;1;1;2;3;8;26;-;42
"José Bonifácio";-;-;-;-;-;4;4;10;-;18
"Lajeado";-;-;-;-;1;3;7;8;-;19
"Lapa";-;-;-;-;-;2;2;7;-;11
"Liberdade";-;-;-;-;-;-;6;7;-;13
"Limão";-;-;-;-;1;3;5;7;-;16
"Mandaqui";-;-;-;-;-;2;4;18;-;24
"Marsilac";-;-;-;-;-;-;1;-;-;1
"Moema";-;-;-;-;-;1;1;13;-;15
"Moóca";-;-;-;-;-;2;5;15;-;22
"Morumbi";-;-;-;-;-;1;1;1;-;3
"Parelheiros";-;-;2;3;3;1;9;21;-;39
"Pari";-;-;-;-;-;1;1;-;-;2
"Parque do Carmo";-;-;-;-;1;1;6;7;-;15
"Pedreira";-;-;-;2;1;2;7;9;-;21
"Penha";-;-;-;-;2;2;3;14;-;21
"Perdizes";-;-;-;-;-;-;1;7;-;8
"Perus";-;-;-;-;1;4;1;4;-;10
"Pinheiros";-;-;-;-;-;2;-;7;-;9
"Pirituba";-;1;1;-;2;2;6;27;-;39
"Ponte Rasa";-;-;1;-;1;2;1;15;-;20
"Raposo Tavares";-;-;-;-;-;6;4;14;-;24
"República";-;-;-;-;-;4;-;6;-;10
"Rio Pequeno";-;-;-;-;1;4;6;12;-;23
"Sacomã";-;-;1;-;4;5;13;19;-;42
"Santa Cecília";-;-;-;-;-;1;2;7;-;10
"Santana";-;-;-;-;1;2;5;17;-;25
"Santo Amaro";-;-;-;-;1;1;8;11;-;21
"São Domingos";-;-;-;-;1;6;1;20;-;28
"São Lucas";-;-;-;1;1;2;9;11;-;24
"São Mateus";-;-;-;2;2;4;5;18;-;31
"São Miguel";-;-;-;1;-;2;3;17;-;23
"São Rafael";-;-;-;-;1;2;1;14;-;18
"Sapopemba";-;-;1;1;2;9;14;25;-;52
"Saúde";-;-;-;-;-;2;8;15;-;25
"Sé";-;-;-;-;-;-;-;3;-;3
"Socorro";-;-;-;1;-;1;-;7;-;9
"Tatuapé";-;-;-;-;2;1;1;10;-;14
"Tremembé";-;-;-;1;2;10;13;18;-;44
"Tucuruvi";-;-;-;-;-;1;8;16;-;25
"Vila Andrade";-;-;-;-;-;2;3;11;-;16
"Vila Curuçá";-;-;-;1;3;4;7;17;-;32
"Vila Formosa";-;-;-;-;-;1;7;9;-;17
"Vila Guilherme";-;-;-;-;-;1;2;5;-;8
"Vila Jacuí";-;-;-;-;6;1;3;11;-;21
"Vila Leopoldina";-;-;-;-;-;-;1;3;-;4
"Vila Maria";-;-;1;-;-;4;3;15;-;23
"Vila Mariana";-;-;-;-;-;-;5;7;-;12
"Vila Matilde";-;-;-;-;-;3;-;12;-;15
"Vila Medeiros";-;-;-;-;-;-;6;11;-;17
"Vila Prudente";-;-;-;-;-;1;2;16;-;19
"Vila Sônia";-;-;-;-;1;-;2;12;-;15
"Desconhecido";-;-;-;-;-;-;-;-;-;-
"Ignorado";-;1;2;4;6;13;18;26;1;71
"Total";1;6;20;41;112;267;496;1132;1;2076
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
